ondernemingsnummer;aantal;omzet;balanstotaal;framework;soort;sector
564750727;42;1358329.0;642288;Nee;None;Carrosserieherstelling
660683727;4;2298186.0;1387854;Nee;None;Handelsbemiddeling in landbouwproducten, levende dieren en textielgrondstoffen en halffabrikaten
479011338;10;1719501.0;129244;Nee;None;Detailhandel in motorbrandstoffen in gespecialiseerde winkels
421187559;4;1826457.0;1115154;Nee;None;Overige adviesbureaus op het gebied van bedrijfsbeheer, adviesbureaus op het gebied van bedrijfsvoering
895366220;61;1786541.0;18269693;Nee;None;Rust
859907077;39;1805819.0;2573333;Nee;None;Exploitatie van sportaccommodaties
879157718;20;1799318.0;111207618;Nee;None;Overige ondersteunende activiteiten in verband met financiï¿½le diensten, exclusief verzekeringen en pensioenfondsen, n.e.g.
837284994;0;0.0;0;Nee;0;Tandartspraktijken
550533594;0;1783761.0;1002854;Nee;0;Elektrotechnische installatiewerken aan gebouwen
438662308;26;1755951.0;4503547;Nee;None;Detailhandel in auto's en lichte bestelwagens (= 3,5 ton)
411972262;285;1744303.0;14386852;Nee;None;Instellingen met huisvesting voor volwassenen met een mentale handicap
455300677;9;2348090.0;1033803;Nee;None;Uitgeverijen van boeken
476291972;6;1910912.0;718604;Nee;None;Computerconsultancy
418432561;12;1717145.0;3269362;Nee;None;Vervaardiging van schakel
472945769;8;1420605.0;1355309;Nee;None;Bedrijfsrevisoren
810496564;8;1709873.0;26688161;Nee;None;Overige adviesbureaus op het gebied van bedrijfsbeheer, adviesbureaus op het gebied van bedrijfsvoering
890333504;4;1702295.0;752411;Nee;None;Arbeidsbureaus
408257756;12;2728764.0;818143;Nee;None;Groothandel in reinigingsmiddelen
463036032;0;0.0;0;Nee;0;Verenigingen op het vlak van milieu en mobiliteit
716974906;6;1704833.0;589243;Nee;None;Apotheken
551973451;0;1783761.0;1002854;Nee;0;Groothandel in kleding, met uitzondering van werk
451242218;45;1487867.0;3181960;Nee;None;Activiteiten van beschut wonen voor personen met psychiatrische problemen
466135478;0;1589755.0;610383;Nee;0;Verhuur en exploitatie van sociale woningen
890494147;6;1684434.0;1749895;Nee;None;Groothandel in dranken, algemeen assortiment
817092663;12;1633670.0;21513187;Nee;None;Fitnesscentra
832429848;0;1670887.0;403697;Nee;0;Apotheken
893693761;5;2042699.0;586901;Nee;None;Dakwerkzaamheden
823657781;4;1606821.0;1561800;Nee;None;Schrijven van computerprogramma's
848517594;0;70.0;0;Nee;0;Holdings
470302619;10;1596028.0;563248;Nee;None;Uitzenden van radioprogramma's
886785480;14;2894111.0;1476458;Nee;None;Detailhandel in dames
690744522;10;1563540.0;17576778;Nee;None;Ontwikkeling van residentiï¿½le bouwprojecten
421648013;21;1945171.0;685468;Nee;None;Ambachtelijke vervaardiging van brood en van vers banketbakkerswerk
888632638;0;0.0;0;Nee;0;Overige gespecialiseerde bouwwerkzaamheden
844685601;68;1740446.0;587437;Nee;None;Algemene reiniging van gebouwen
463347917;30;1560440.0;1368628;Nee;None;Ambulante revalidatieactiviteiten
427334488;4;1273574.0;284183;Nee;None;Detailhandel in niet
656494416;0;0.0;0;Nee;0;Overige adviesbureaus op het gebied van bedrijfsbeheer, adviesbureaus op het gebied van bedrijfsvoering
461982690;12;1518016.0;1267418;Nee;None;Elektrotechnische installatiewerken aan gebouwen
535997056;13;1504495.0;4264617;Nee;None;Detailhandel in boeken in gespecialiseerde winkels
897913657;8;1306187.0;236519;Nee;None;Detailhandel in motorbrandstoffen in gespecialiseerde winkels
438703284;10;1469802.0;1550610;Nee;None;Bedrijfsrevisoren
413538417;0;1247106.0;3609246;Nee;0;Onderwijs voor sociale promotie
429127109;14;1464567.0;4373913565;Nee;None;Activiteiten van hoofdkantoren
476398969;22;1462782.0;3705140;Nee;None;Gespecialiseerde beeld
470510673;2;1441484.0;404543;Nee;None;Detailhandel in motorbrandstoffen in gespecialiseerde winkels
431898141;0;1396000.0;3327484;Nee;0;Praktijken van specialisten
636932979;30;1448154.0;786367;Nee;None;Carrosserieherstelling
887790718;3;1307409.0;745708;Nee;None;Groothandel in bouwmaterialen, algemeen assortiment
407323883;0;0.0;0;Nee;0;Groothandel in andere machines en werktuigen, n.e.g.
410571108;33;1517462.0;2004090;Nee;None;Ambulante revalidatieactiviteiten
219324522;60;1409494.0;7077772;Nee;None;Overige verwerking en verwijdering van ongevaarlijk afval
423246038;8;1405076.0;326980;Nee;None;Niet
476991065;0;1400609.0;738712;Nee;0;Uitzendbureaus
537629329;100;1398208.0;2045670;Nee;None;Kinderdagverblijven en crï¿½ches
